,id,SKU,brand_name,name,rating_average,price
93,111580006,1827948477337,,Sách Muôn Kiếp Nhân Sinh 2 (Khổ Nhỏ) - Nguyên Phong,5.0,111000
94,107802183,5771954109656,,Sách Sức Mạnh Tiềm Thức (Tái Bản) (Bìa Mềm),5.0,96100
95,215141307,8723906717302,,Người dọn dẹp hiện trường án mạng,5.0,65000
96,10095276,6693741932118,,Ikigai - Bí Mật Sống Trường Thọ Và Hạnh Phúc Của Người Nhật,5.0,68000
97,4313653,8935278601494,,Từng Bước Nở Hoa Sen,5.0,59100
98,113530805,8928093278897,,Tuổi Trẻ Đáng Giá Bao Nhiêu (Tái Bản),4.8,67000
99,94173458,3408429279209,,Khuyến Học (Tái Bản),5.0,51000
100,251577060,5720404971426,,Người Bà Tài Giỏi Vùng Saga – Tập 11,4.7,43000
101,262871376,8803574087784,,Arya Bàn Bên Thỉnh Thoảng Lại Trêu Ghẹo Tôi Bằng Tiếng Nga – Tập 3,4.5,89100
102,152875147,6835131276097,,Miền Đất Hứa - Barack Obama (Bìa Cứng),5.0,477300
103,248264491,8009267806557,,Bộ Sách Hiểu Về Trái Tim Và Không Diệt Không Sinh Đừng Sợ Hãi (Tái Bản 2023),5.0,214400
104,8886001,6743728276916,,Giết Con Chim Nhại (Tái Bản),4.8,94000
105,210277880,4393546061013,,Con người và Biểu tượng - Man and his symbols,4.8,381000
106,253099216,5916298060000,,Khó Dỗ Dành 1,4.8,148000
107,261028263,6766276850463,,Chú Thuật Hồi Chiến Tập 13: Biến Cố Shibuya – Sấm Rền,4.6,27100
108,70016692,6701145185686,,Bắt Trẻ Đồng Xanh (Tái Bản 2020),4.8,69100
109,97594364,4239288860375,,Luật Tâm Thức - Giải Mã Ma Trận Vũ Trụ,4.7,211000
110,225912339,9241833835447,,Chủ nghĩa khắc kỷ - phong cách sống bản lĩnh và bình thản (Tái Bản),5.0,96850
111,103379147,1415668052071,,Bạch Dạ Hành (Tái Bản),4.8,163000
112,176752838,1858413556074,,Thay Đổi Tí Hon Hiệu Quả Bất Ngờ - Atomic Habits,5.0,159690
113,13833466,5466785722172,,Sách Minh Triết Trong Ăn Uống Của Phương Đông (Tái Bản),5.0,125500
114,54614797,7637794121043,,"Có Một Ngày, Bố Mẹ Sẽ Già Đi",4.8,70900
115,750578,2505284296418,,Khi Hơi Thở Hóa Thinh Không,4.7,75000
116,3608623,8836216508779,,Bí Mật Của Phan Thiên Ân,4.8,69000
117,139303869,8894786964901,,Nghệ Thuật Tinh Tế Của Việc Đếch Quan Tâm (Tái Bản),5.0,94000
118,8885995,8297872277278,,Sự Im Lặng Của Bầy Cừu (Tái Bản),4.8,88100
119,95311757,2443406206869,,Lưu Thông Máu Tốt Hóa Giải Bách Bệnh,4.8,72000
120,204051994,2072179233402,,Ngôi nhà kỳ quái,5.0,102000
121,49747007,5649979940099,,Hai Mặt Của Gia Đình,4.8,71000
122,126743459,4806302484477,,Fear - Sợ Hãi (Hóa Giải Sợ Hãi Bằng Tình Thương),5.0,76300
123,1476937,2707336164304,,Dám Bị Ghét,4.8,74000
124,249019417,8396009001616,,Đường Xưa Mây Trắng - Theo Gót Chân Bụt (Tái Bản),5.0,234000
125,121635154,7788980927848,,Điều Đẹp Nhất Có Khi Là Buông Tay (Tặng Kèm Bookmark),4.8,53000
126,69644748,2023534474138,,Thiền Sư Và Em Bé 5 Tuổi,5.0,93000
127,109765020,4285464450705,,Siddhartha (Tái Bản 2021),5.0,53500
128,140416373,3988684296835,,Hành Trình Về Phương Đông (Khổ Nhỏ)(Tái Bản),5.0,60000
129,217536280,7178251233849,,999 Lá Thư Gửi Cho Chính Mình – Những lá thư ấn tượng nhất (Phiên bản song ngữ Trung - Việt),5.0,73100
130,176909221,2474480684348,,Ngôi Nhà Bên Bờ Biển Xanh Thẳm,5.0,125000
131,111290700,6251612446075,,Bố Già (Bìa Cứng) (Tái Bản),5.0,195000
132,85396163,6812303160772,,Combo 2 Cuốn: Yêu Những Điều Không Hoàn Hảo + Bước Chậm Lại Giữa Thế Gian Vội Vã (Tái Bản),5.0,179000
133,216124178,4037249309541,,Muối – Sự Hồi Sinh Nơi Sâu Thẳm Vụn Vỡ,4.7,119000
134,72882553,6676263602455,,Kỷ Luật Tự Giác (Tặng Kèm Bookmark ),4.8,62000
135,207301603,2698647703750,,Thiên Quan Tứ Phúc - Tập 7,5.0,110700
136,63587072,2462009899777,,Tĩnh Lặng (Tái Bản Lần Thứ 11/2020),5.0,49100
137,154245455,1211693367902,,Combo 2 Cuốn Nghiền Từ Vựng Tiếng Anh: Học Qua Gốc Từ Bằng Hình Ảnh - Gốc Từ Là Bí Quyết Để Ghi Nhớ Hàng Nghìn Từ Vựng,5.0,215000
138,213619207,3024960208107,,Sách Lời Tiên Tri Celestine - First News,5.0,193440
139,109018530,8127580547496,,Vườn Hoa Mạt Dược Ký Sự - Những Kỳ Án Nổi Tiếng Chưa Có Lời Giải (Tặng Kèm 1 Bookmark Chữ Nhật),4.8,103000
140,100347901,9090972971881,,Tam Thể 1 (Tái Bản),4.8,112000
141,242770600,7180981958182,,Người Bà Tài Giỏi Vùng SaGa - Tập 10,4.7,42100
142,120219394,9480037619793,,Tôi Nói Gì Khi Nói Về Chạy Bộ,5.0,56100
143,252884444,7794323034634,,Sách Giáo Khoa Bộ Lớp 12 - Sách Bài Học (Bộ 13 Cuốn - Không Tiếng Anh) (2023),5.0,156480
144,111290696,2267993118143,,Việt Nam Sử Lược (Ấn Bản Kỉ Niệm 100 Năm Xuất Bản Lần Đầu) (Tái Bản),5.0,360000
145,8886007,7249937411821,,Ngàn Mặt Trời Rực Rỡ (Tái Bản),4.8,96100
146,66067655,1366097861023,,Trải Nghiệm Khách Hàng Xuất Sắc,5.0,177000
147,100958457,9002120397309,,Gieo Trồng Hạnh Phúc (Tái Bản),5.0,57000
148,59262880,9235463056504,,Sách Người Bán Hàng Vĩ Đại Nhất Thế Giới (Tái Bản 2020),4.8,96000
149,73125816,1048543996878,,Digital Marketing - Từ Chiến Lược Đến Thực Thi (Tái Bản 2020),4.8,144000
150,104741661,8622419823285,,Combo 2 Tập : 999 Lá Thư Gửi Cho Chính Mình (Tái Bản),5.0,182000
151,69764541,9932851704459,,Tâm Lý Học Hành Vi (Tặng Kèm 1 Bookmark ),5.0,68100
152,77774625,3059987340603,,"Nghệ Thuật Tập Trung - Nâng Cao Năng Suất, Tối Ưu Thời Gian, Hiệu Quả Bất Ngờ",4.8,73000
153,52329763,4665215905746,,Kafka bên bờ biển (Tái Bản 2020),4.8,118500
